10.04.2016 05.25.41, Dealer 2, Auto 2 (Body 1, Engine 1, Accessory 1)
10.04.2016 05.25.41, Dealer 4, Auto 1 (Body 3, Engine 2, Accessory 2)
10.04.2016 05.25.41, Dealer 3, Auto 3 (Body 5, Engine 3, Accessory 32)
10.04.2016 05.25.46, Dealer 1, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.25.56, Dealer 2, Auto 6 (Body 9, Engine 6, Accessory 37)
10.04.2016 05.25.56, Dealer 3, Auto 5 (Body 8, Engine 5, Accessory 36)
10.04.2016 05.28.44, Dealer 3, Auto 3 (Body 4, Engine 3, Accessory 32)
10.04.2016 05.28.44, Dealer 2, Auto 2 (Body 3, Engine 2, Accessory 2)
10.04.2016 05.28.44, Dealer 4, Auto 1 (Body 1, Engine 1, Accessory 3)
10.04.2016 05.28.49, Dealer 1, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.30.05, Dealer 1, Auto 2 (Body 3, Engine 2, Accessory 1)
10.04.2016 05.30.05, Dealer 2, Auto 1 (Body 1, Engine 1, Accessory 3)
10.04.2016 05.30.05, Dealer 3, Auto 3 (Body 5, Engine 3, Accessory 32)
10.04.2016 05.30.10, Dealer 4, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.31.06, Dealer 1, Auto 2 (Body 3, Engine 2, Accessory 1)
10.04.2016 05.31.06, Dealer 2, Auto 3 (Body 5, Engine 3, Accessory 32)
10.04.2016 05.31.06, Dealer 3, Auto 1 (Body 1, Engine 1, Accessory 3)
10.04.2016 05.31.10, Dealer 4, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.31.21, Dealer 2, Auto 6 (Body 10, Engine 6, Accessory 37)
10.04.2016 05.31.21, Dealer 1, Auto 5 (Body 8, Engine 5, Accessory 36)
10.04.2016 05.31.25, Dealer 3, Auto 7 (Body 11, Engine 7, Accessory 38)
10.04.2016 05.31.30, Dealer 4, Auto 8 (Body 12, Engine 8, Accessory 39)
10.04.2016 05.31.36, Dealer 1, Auto 9 (Body 7, Engine 9, Accessory 40)
10.04.2016 05.31.41, Dealer 3, Auto 10 (Body 9, Engine 10, Accessory 41)
10.04.2016 05.34.20, Dealer 3, Auto 2 (Body 3, Engine 2, Accessory 2)
10.04.2016 05.34.20, Dealer 4, Auto 3 (Body 5, Engine 3, Accessory 32)
10.04.2016 05.34.20, Dealer 2, Auto 1 (Body 1, Engine 1, Accessory 3)
10.04.2016 05.34.25, Dealer 1, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.43.37, Dealer 1, Auto 2 (Body 1, Engine 1, Accessory 2)
10.04.2016 05.43.37, Dealer 4, Auto 3 (Body 5, Engine 3, Accessory 32)
10.04.2016 05.43.37, Dealer 2, Auto 1 (Body 3, Engine 2, Accessory 1)
10.04.2016 05.43.42, Dealer 3, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.43.52, Dealer 1, Auto 6 (Body 10, Engine 6, Accessory 37)
10.04.2016 05.43.52, Dealer 2, Auto 5 (Body 8, Engine 5, Accessory 36)
10.04.2016 05.43.57, Dealer 4, Auto 7 (Body 11, Engine 7, Accessory 38)
10.04.2016 05.44.02, Dealer 3, Auto 8 (Body 12, Engine 8, Accessory 39)
10.04.2016 05.49.27, Dealer 2, Auto 2 (Body 3, Engine 2, Accessory 2)
10.04.2016 05.49.27, Dealer 4, Auto 1 (Body 1, Engine 1, Accessory 3)
10.04.2016 05.49.27, Dealer 1, Auto 3 (Body 5, Engine 3, Accessory 32)
10.04.2016 05.49.32, Dealer 3, Auto 4 (Body 6, Engine 4, Accessory 35)
10.04.2016 05.49.42, Dealer 4, Auto 6 (Body 10, Engine 6, Accessory 37)
10.04.2016 05.49.42, Dealer 1, Auto 5 (Body 8, Engine 5, Accessory 36)
